_col0,primary_category,basic_category
822,3d_printing_service,printing_service
453,abortion_clinic,specialized_medical_facility
110,abrasives_supplier,supplier_or_distributor
19606,abuse_and_addiction_treatment_center,specialized_medical_facility
1830,academic_bookstore,books_music_and_video_store
355,acai_bowls,restaurant
176951,accountant,financial_service
79,acne_treatment,personal_or_beauty_service
218,acoustical_consultant,technical_service
44440,acupuncture,complementary_and_alternative_medicine
5326,addiction_rehabilitation_center,physical_medicine_and_rehabilitation
1137,adoption_service,family_service
8420,adult_education_center,place_of_learning
11462,adult_entertainment_venue,adult_entertainment_venue
1645,adult_store,specialty_store
751,adventure_sports_center,sport_or_fitness_facility
231973,advertising_agency,professional_service
40,aerial_fitness_center,fitness_studio
115,aerial_tour,travel_service
290,aesthetic_medicine,specialized_health_care
2055,afghani_restaurant,restaurant
7479,african_restaurant,restaurant
2169,after_school_program,educational_service
178,aggregate_supplier,supplier_or_distributor
27508,agricultural_cooperative,b2b_service
620,agricultural_seed_store,specialty_store
89225,agricultural_service,agricultural_service
64916,agriculture,b2b_service
652,agriculture_association,agricultural_service
598,agritourism,travel_service
1307,air_duct_cleaning_service,home_service
1023,aircraft_dealer,vehicle_dealer
784,aircraft_manufacturer,manufacturer
1379,aircraft_parts_and_supplies,air_transport_facility_or_service
2762,aircraft_service,vehicle_service
12094,airline,air_transport_facility_or_service
156,airline_ticket_agency,air_transport_facility_or_service
53917,airport,airport
3691,airport_lounge,lounge
5301,airport_shuttle,air_transport_facility_or_service
6149,airport_terminal,airport
78,airsoft_field,sport_field
4955,alcohol_and_drug_treatment_center,specialized_medical_facility
6978,allergy_and_immunology,specialized_health_care
4819,altering_and_remodeling_contractor,home_service
393,aluminum_supplier,supplier_or_distributor
4988,amateur_sport_league,sport_league
30168,amateur_sport_team,sport_team
24238,ambulance_or_ems_service,emergency_or_urgent_care_facility
86,american_football_field,sport_field
66136,american_restaurant,restaurant
43182,amusement_park,amusement_park
7715,anesthesiology,specialized_health_care
24881,anglican_or_episcopal_place_of_worship,christian_place_of_worship
12,animal_assisted_therapy,physical_medicine_and_rehabilitation
1966,animal_hospital,animal_or_pet_service
80894,animal_or_pet_service,animal_or_pet_service
17,animal_physical_therapy,animal_or_pet_service
5740,animal_rescue_service,animal_or_pet_service
27738,animal_shelter,animal_or_pet_service
2787,animation_studio,media_service
125,antenna_service,home_service
57939,antique_store,second_hand_store
28150,apartment,apartment
1316,apartment_agent,real_estate_service
33,apiary_beekeeper,b2b_service
7834,apparel_manufacturer,manufacturer
2885,appellate_practice_lawyer,attorney_or_law_firm
9347,appliance_manufacturer,manufacturer
44541,appliance_repair_service,home_service
64912,appliance_store,hardware_home_and_garden_store
23411,appraisal_service,financial_service
6904,aquarium,aquarium
158,aquarium_service,animal_or_pet_service
12151,aquatic_pet_store,animal_and_pet_store
3210,arabian_restaurant,restaurant
29707,arcade,arcade
1605,archaeological_service,educational_service
3684,archery_range,sport_or_fitness_facility
1602,archery_store,sporting_goods_store
32082,architect,design_service
100199,architectural_designer,design_service
150,architectural_tour,travel_service
84,architecture_school,college_university
4479,argentine_restaurant,restaurant
414,armenian_restaurant,restaurant
20,army_and_navy_store,specialty_store
5367,aromatherapy,complementary_and_alternative_medicine
150708,art_gallery,art_gallery
13036,art_museum,museum
3868,art_restoration_service,media_service
36062,art_school,specialty_school
1,art_space_rental,rental_service
1852,art_supply_store,arts_crafts_and_hobby_store
35,art_tour,travel_service
204,artificial_turf,home_service
15,arts_and_crafts_space,arts_and_crafts_space
300372,arts_and_entertainment,arts_and_entertainment
142261,arts_crafts_and_hobby_store,arts_crafts_and_hobby_store
108,asian_art_museum,museum
12746,asian_fusion_restaurant,restaurant
821,asian_grocery_store,food_and_beverage_store
73045,asian_restaurant,restaurant
27634,assisted_living_facility,senior_living_facility
7919,astrological_advising,astrological_advising
44,atelier,arts_crafts_and_hobby_store
342719,atm,atm
316077,attorney_or_law_firm,attorney_or_law_firm
131,attraction_farm,rural_attraction
1125,atv_recreation_park,sport_or_fitness_facility
2011,atv_rental_tour,recreational_equipment_rental
17731,auction_house,specialty_store
17006,audio_visual_equipment_store,electronics_store
18087,audiology,specialized_health_care
5510,audiovisual_equipment_rental,event_or_party_service
19652,auditorium,event_venue
1787,australian_restaurant,restaurant
4715,austrian_restaurant,restaurant
89488,auto_body_shop,automotive_service
2662,auto_broker,auto_dealer
51595,auto_company,corporate_or_business_office
32666,auto_customization,automotive_service
542069,auto_dealer,auto_dealer
129597,auto_detailing,automotive_service
8949,auto_electrical_repair,automotive_service
33179,auto_glass_service,automotive_service
37594,auto_insurance,financial_service
5002,auto_leasing,auto_dealer
1301,auto_loan_provider,financial_service
12742,auto_manufacturer,manufacturer
324519,auto_parts_store,vehicle_parts_store
16433,auto_restoration_service,automotive_service
1345,auto_security,automotive_service
2465,auto_upholstery,automotive_service
21056,automation_service,b2b_industrial_and_machine_service
4426,automobile_registration_service,automotive_service
9504,automotive_consultant,automotive_service
878312,automotive_repair,automotive_service
172801,automotive_service,automotive_service
2232,automotive_storage_facility,storage_facility
644,automotive_wheel_polishing_service,automotive_service
607,aviation_museum,museum
522,avionics_shop,air_transport_facility_or_service
955,awning_supplier,supplier_or_distributor
106,axe_throwing,sport_or_fitness_facility
294,ayurveda,complementary_and_alternative_medicine
60,azerbaijani_restaurant,restaurant
48779,b2b_advertising_and_marketing_service,b2b_office_and_professional_service
84,b2b_agriculture_service,b2b_service
2682,b2b_audio_visual_production,b2b_service
36,b2b_background_check_service,b2b_office_and_professional_service
81576,b2b_business_management_service,b2b_office_and_professional_service
6428,b2b_cleaning_and_waste_management,b2b_service
5983,b2b_clinical_lab,b2b_service
581,b2b_coal_and_coke,b2b_energy_and_utility_service
70,b2b_dairy,b2b_service
1151,b2b_dental_lab,b2b_service
196,b2b_direct_mail_advertising,b2b_office_and_professional_service
1154,b2b_domestic_trade_service,b2b_office_and_professional_service
35130,b2b_energy_and_utility_service,b2b_energy_and_utility_service
7347,b2b_environmental_service,b2b_service
626,b2b_equipment_maintenance_and_repair,b2b_industrial_and_machine_service
700,b2b_executive_search_consultants,b2b_office_and_professional_service
80,b2b_farm,b2b_service
12,b2b_farming,b2b_service
1357,b2b_food_products,b2b_service
1563,b2b_hospital_equipment_and_supplies,b2b_service
4727,b2b_human_resource_service,b2b_office_and_professional_service
3478,b2b_industrial_and_machine_service,b2b_industrial_and_machine_service
8400,b2b_international_trade_service,b2b_office_and_professional_service
24298,b2b_marketing_consultant,b2b_office_and_professional_service
210,b2b_medical_support_service,b2b_service
10389,b2b_mining,b2b_energy_and_utility_service
627,b2b_newspaper_advertising,b2b_office_and_professional_service
6542,b2b_oil_and_gas,b2b_energy_and_utility_service
1833,b2b_oil_and_gas_equipment,b2b_energy_and_utility_service
145,b2b_oil_and_gas_exploration_and_development,b2b_energy_and_utility_service
1360,b2b_oil_and_gas_extraction,b2b_energy_and_utility_service
1365,b2b_oil_refinery,b2b_energy_and_utility_service
177,b2b_outdoor_advertising,b2b_office_and_professional_service
823,b2b_power_plants_and_power_plant_service,b2b_energy_and_utility_service
2029,b2b_promotional_products_and_services,b2b_office_and_professional_service
690,b2b_publicity_service,b2b_office_and_professional_service
760,b2b_quarry,b2b_energy_and_utility_service
1201,b2b_radio_and_television_commercials,b2b_office_and_professional_service
1211,b2b_records_storage_service,b2b_office_and_professional_service
14826,b2b_science_and_technology_service,b2b_science_and_technology_service
507,b2b_scientific_equipment,b2b_science_and_technology_service
165,b2b_scientific_lab,b2b_science_and_technology_service
1692,b2b_secretarial_service,b2b_office_and_professional_service
50289,b2b_service,b2b_service
1341,b2b_signage_service,b2b_office_and_professional_service
106,b2b_storage,b2b_transportation_and_storage_service
24280,b2b_surgical_appliances_and_supplies,b2b_service
2637,b2b_telemarketing_service,b2b_office_and_professional_service
1110,b2b_transportation_and_storage_service,b2b_transportation_and_storage_service
29205,b2b_water_treatment_service,b2b_service
5475,baby_gear_and_nursery_store,fashion_and_apparel_store
96,backflow_service,home_service
2,backpacking_area,recreational_trail_or_path
4646,badminton_court,sport_court
10542,bagel_shop,casual_eatery
3202,bags_luggage_company,corporate_or_business_office
6067,bail_bonds_service,legal_service
514933,bakery,casual_eatery
104,balloon_port,airport
462,balloon_service,event_or_party_service
420,band_orchestra_symphony,music_venue
1969,bangladeshi_restaurant,restaurant
234566,bank,bank_or_credit_union
729,bank_equipment_service,professional_service
358594,bank_or_credit_union,bank_or_credit_union
7873,bankruptcy_law,attorney_or_law_firm
103210,baptist_place_of_worship,christian_place_of_worship
644080,bar,bar
88422,bar_and_grill_restaurant,restaurant
16,bar_crawl,nightlife_venue
140,bar_tabac,bar
112256,barbecue_restaurant,restaurant
385973,barber,personal_or_beauty_service
431,barre_class,fitness_studio
3122,bartender,event_or_party_service
1063,bartending_school,specialty_school
17055,baseball_field,sport_field
1671,baseball_stadium,stadium_arena
8395,basketball_court,sport_court
861,basketball_stadium,stadium_arena
1060,basque_restaurant,restaurant
313,bathroom_fixture_store,hardware_home_and_garden_store
6249,bathroom_remodeling,home_service
330,bathtub_and_sink_repair,home_service
1,battery_inverter_supplier,supplier_or_distributor
4056,battery_store,electronics_store
2841,batting_cage,sport_or_fitness_facility
11,bazaar,market
177958,beach,beach
451,beach_bar,bar
962,beach_equipment_rental,recreational_equipment_rental
7942,beach_resort,resort
10,beach_volleyball_club,sport_or_recreation_club
27,beach_volleyball_court,sport_court
353,bearing_supplier,supplier_or_distributor
25937,beauty_product_supplier,supplier_or_distributor
1238909,beauty_salon,personal_or_beauty_service
184142,beauty_supply_store,personal_care_and_beauty_store
155160,bed_and_breakfast,bed_and_breakfast
1926,bedding_and_bath_store,hardware_home_and_garden_store
23997,beer_bar,bar
16278,beer_garden,alcoholic_beverage_venue
