basic_category,display_name,taxonomy,level
arts_and_entertainment,Arts and Entertainment,arts_and_entertainment,0
amusement_attraction,Amusement Attraction,arts_and_entertainment > amusement_attraction,1
amusement_park,Amusement Park,arts_and_entertainment > amusement_attraction > amusement_park,2
animal_attraction,Animal Attraction,arts_and_entertainment > animal_attraction,1
aquarium,Aquarium,arts_and_entertainment > animal_attraction > aquarium,2
zoo,Zoo,arts_and_entertainment > animal_attraction > zoo,2
arts_and_crafts_space,Arts and Crafts Space,arts_and_entertainment > arts_and_crafts_space,1
art_gallery,Art Gallery,arts_and_entertainment > arts_and_crafts_space > art_gallery,2
sculpture_statue,Sculpture Statue,arts_and_entertainment > arts_and_crafts_space > sculpture_statue,2
street_art,Street Art,arts_and_entertainment > arts_and_crafts_space > street_art,2
event_venue,Event Venue,arts_and_entertainment > event_venue,1
festival_venue,Festival Venue,arts_and_entertainment > festival_venue,1
fairgrounds,Fairgrounds,arts_and_entertainment > festival_venue > fairgrounds,2
gaming_venue,Gaming Venue,arts_and_entertainment > gaming_venue,1
arcade,Arcade,arts_and_entertainment > gaming_venue > arcade,2
casino,Casino,arts_and_entertainment > gaming_venue > casino,2
movie_theater,Movie Theater,arts_and_entertainment > movie_theater,1
museum,Museum,arts_and_entertainment > museum,1
nightlife_venue,Nightlife Venue,arts_and_entertainment > nightlife_venue,1
adult_entertainment_venue,Adult Entertainment Venue,arts_and_entertainment > nightlife_venue > adult_entertainment_venue,2
dance_club,Dance Club,arts_and_entertainment > nightlife_venue > dance_club,2
performing_arts_venue,Performing Arts Venue,arts_and_entertainment > performing_arts_venue,1
comedy_club,Comedy Club,arts_and_entertainment > performing_arts_venue > comedy_club,2
music_venue,Music Venue,arts_and_entertainment > performing_arts_venue > music_venue,2
theatre_venue,Theatre Venue,arts_and_entertainment > performing_arts_venue > theatre_venue,2
rural_attraction,Rural Attraction,arts_and_entertainment > rural_attraction,1
rodeo,Rodeo,arts_and_entertainment > rural_attraction > rodeo,2
science_attraction,Science Attraction,arts_and_entertainment > science_attraction,1
makerspace,Makerspace,arts_and_entertainment > science_attraction > makerspace,2
planetarium,Planetarium,arts_and_entertainment > science_attraction > planetarium,2
social_club,Social Club,arts_and_entertainment > social_club,1
country_club,Country Club,arts_and_entertainment > social_club > country_club,2
spiritual_advising,Spiritual Advising,arts_and_entertainment > spiritual_advising,1
astrological_advising,Astrological Advising,arts_and_entertainment > spiritual_advising > astrological_advising,2
psychic_advising,Psychic Advising,arts_and_entertainment > spiritual_advising > psychic_advising,2
stadium_arena,Stadium Arena,arts_and_entertainment > stadium_arena,1
ticket_office_or_booth,Ticket Office or Booth,arts_and_entertainment > ticket_office_or_booth,1
community_and_government,Community and Government,community_and_government,0
civic_organization,Civic Organization,community_and_government > civic_organization,1
civic_center,Civic Center,community_and_government > civic_organization > civic_center,2
labor_union,Labor Union,community_and_government > civic_organization > labor_union,2
political_organization,Political Organization,community_and_government > civic_organization > political_organization,2
government_office,Government Office,community_and_government > government_office,1
courthouse,Courthouse,community_and_government > government_office > courthouse,2
embassy,Embassy,community_and_government > government_office > embassy,2
government_department,Government Department,community_and_government > government_office > government_department,2
military_site,Military Site,community_and_government > military_site,1
military_base,Military Base,community_and_government > military_site > military_base,2
military_office,Military Office,community_and_government > military_site > military_office,2
public_facility,Public Facility,community_and_government > public_facility,1
public_fountain,Public Fountain,community_and_government > public_facility > public_fountain,2
public_pathway,Public Pathway,community_and_government > public_facility > public_pathway,2
public_plaza,Public Plaza,community_and_government > public_facility > public_plaza,2
public_restroom,Public Restroom,community_and_government > public_facility > public_restroom,2
public_safety_service,Public Safety Service,community_and_government > public_safety_service,1
fire_station,Fire Station,community_and_government > public_safety_service > fire_station,2
jail_or_prison,Jail or Prison,community_and_government > public_safety_service > jail_or_prison,2
police_station,Police Station,community_and_government > public_safety_service > police_station,2
public_utility,Public Utility,community_and_government > public_utility,1
electric_utility_provider,Electric Utility Provider,community_and_government > public_utility > electric_utility_provider,2
natural_gas_utility_provider,Natural Gas Utility Provider,community_and_government > public_utility > natural_gas_utility_provider,2
water_utility_provider,Water Utility Provider,community_and_government > public_utility > water_utility_provider,2
social_or_community_service,Social or Community Service,community_and_government > social_or_community_service,1
community_center,Community Center,community_and_government > social_or_community_service > community_center,2
food_bank,Food Bank,community_and_government > social_or_community_service > food_bank,2
youth_organization,Youth Organization,community_and_government > social_or_community_service > youth_organization,2
cultural_and_historic,Cultural and Historic,cultural_and_historic,0
cultural_center,Cultural Center,cultural_and_historic > cultural_center,1
historic_site,Historic Site,cultural_and_historic > historic_site,1
castle,Castle,cultural_and_historic > historic_site > castle,2
fort,Fort,cultural_and_historic > historic_site > fort,2
lighthouse,Lighthouse,cultural_and_historic > historic_site > lighthouse,2
memorial_site,Memorial Site,cultural_and_historic > memorial_site,1
cemetery,Cemetery,cultural_and_historic > memorial_site > cemetery,2
monument,Monument,cultural_and_historic > memorial_site > monument,2
place_of_worship,Place of Worship,cultural_and_historic > place_of_worship,1
buddhist_place_of_worship,Buddhist Place of Worship,cultural_and_historic > place_of_worship > buddhist_place_of_worship,2
christian_place_of_worship,Christian Place of Worship,cultural_and_historic > place_of_worship > christian_place_of_worship,2
hindu_place_of_worship,Hindu Place of Worship,cultural_and_historic > place_of_worship > hindu_place_of_worship,2
jewish_place_of_worship,Jewish Place of Worship,cultural_and_historic > place_of_worship > jewish_place_of_worship,2
muslim_place_of_worship,Muslim Place of Worship,cultural_and_historic > place_of_worship > muslim_place_of_worship,2
religious_landmark,Religious Landmark,cultural_and_historic > religious_landmark,1
religious_organization,Religious Organization,cultural_and_historic > religious_organization,1
religious_retreat_or_center,Religious Retreat or Center,cultural_and_historic > religious_retreat_or_center,1
education,Education,education,0
education_office,Education Office,education > education_office,1
school_district_office,School District Office,education > education_office > school_district_office,2
educational_facility,Educational Facility,education > educational_facility,1
campus,Campus,education > educational_facility > campus,2
campus_building,Campus Building,education > educational_facility > campus_building,2
educational_service,Educational Service,education > educational_service,1
tutoring_service,Tutoring Service,education > educational_service > tutoring_service,2
library,Library,education > library,1
place_of_learning,Place of Learning,education > place_of_learning,1
academy,Academy,education > place_of_learning > academy,2
