legacy_primary_category,legacy_primary_hierarchy,taxonomy_primary,taxonomy_path,taxonomy_display_name
arts_and_entertainment,arts_and_entertainment,arts_and_entertainment,arts_and_entertainment,Arts and Entertainment
amusement_park,attractions_and_activities > amusement_park,amusement_park,arts_and_entertainment > amusement_attraction > amusement_park,Amusement Park
carousel,arts_and_entertainment > carousel,carousel,arts_and_entertainment > amusement_attraction > carousel,Carousel
circus,arts_and_entertainment > circus,circus_venue,arts_and_entertainment > amusement_attraction > circus_venue,Circus Venue
haunted_house,attractions_and_activities > haunted_house,haunted_house,arts_and_entertainment > amusement_attraction > haunted_house,Haunted House
aquarium,attractions_and_activities > aquarium,aquarium,arts_and_entertainment > animal_attraction > aquarium,Aquarium
wildlife_sanctuary,arts_and_entertainment > wildlife_sanctuary,wildlife_sanctuary,arts_and_entertainment > animal_attraction > wildlife_sanctuary,Wildlife Sanctuary
zoo,attractions_and_activities > zoo,zoo,arts_and_entertainment > animal_attraction > zoo,Zoo
petting_zoo,attractions_and_activities > zoo > petting_zoo,petting_zoo,arts_and_entertainment > animal_attraction > zoo > petting_zoo,Petting Zoo
chamber_of_handicraft,arts_and_entertainment > chamber_of_handicraft,arts_and_crafts_space,arts_and_entertainment > arts_and_crafts_space,Arts and Crafts Space
art_gallery,attractions_and_activities > art_gallery,art_gallery,arts_and_entertainment > arts_and_crafts_space > art_gallery,Art Gallery
glass_blowing,arts_and_entertainment > glass_blowing,glass_blowing_venue,arts_and_entertainment > arts_and_crafts_space > glass_blowing_venue,Glass Blowing Venue
paint_and_sip,arts_and_entertainment > paint_and_sip,paint_and_sip_venue,arts_and_entertainment > arts_and_crafts_space > paint_and_sip_venue,Paint and Sip Venue
paint_your_own_pottery,retail > shopping > arts_and_crafts > paint_your_own_pottery,paint_your_own_pottery_venue,arts_and_entertainment > arts_and_crafts_space > paint_your_own_pottery_venue,Paint Your Own Pottery Venue
sculpture_statue,attractions_and_activities > sculpture_statue,sculpture_statue,arts_and_entertainment > arts_and_crafts_space > sculpture_statue,Sculpture Statue
street_art,attractions_and_activities > street_art,street_art,arts_and_entertainment > arts_and_crafts_space > street_art,Street Art
venue_and_event_space,professional_services > event_planning > venue_and_event_space,event_venue,arts_and_entertainment > event_venue,Event Venue
auditorium,arts_and_entertainment > auditorium,auditorium,arts_and_entertainment > event_venue > auditorium,Auditorium
exhibition_and_trade_center,arts_and_entertainment > exhibition_and_trade_center,exhibition_and_trade_fair_venue,arts_and_entertainment > event_venue > exhibition_and_trade_fair_venue,Exhibition and Trade Fair Venue
festival,arts_and_entertainment > festival,festival_venue,arts_and_entertainment > festival_venue,Festival Venue
fair,arts_and_entertainment > festival > fair,fairgrounds,arts_and_entertainment > festival_venue > fairgrounds,Fairgrounds
film_festivals_and_organizations,arts_and_entertainment > festival > film_festivals_and_organizations,film_festival_venue,arts_and_entertainment > festival_venue > film_festival_venue,Film Festival Venue
music_festivals_and_organizations,arts_and_entertainment > festival > music_festivals_and_organizations,music_festival_venue,arts_and_entertainment > festival_venue > music_festival_venue,Music Festival Venue
arcade,arts_and_entertainment > arcade,arcade,arts_and_entertainment > gaming_venue > arcade,Arcade
betting_center,arts_and_entertainment > betting_center,betting_center,arts_and_entertainment > gaming_venue > betting_center,Betting Center
bingo_hall,arts_and_entertainment > bingo_hall,bingo_hall,arts_and_entertainment > gaming_venue > bingo_hall,Bingo Hall
casino,arts_and_entertainment > casino,casino,arts_and_entertainment > gaming_venue > casino,Casino
escape_rooms,arts_and_entertainment > escape_rooms,escape_room,arts_and_entertainment > gaming_venue > escape_room,Escape Room
lottery_ticket,professional_services > lottery_ticket,lottery_vendor,arts_and_entertainment > gaming_venue > lottery_vendor,Lottery Vendor
scavenger_hunts_provider,attractions_and_activities > scavenger_hunts_provider,scavenger_hunt,arts_and_entertainment > gaming_venue > scavenger_hunt,Scavenger Hunt
cinema,arts_and_entertainment > cinema,movie_theater,arts_and_entertainment > movie_theater,Movie Theater
