taxonomy,primary,displayName,level,isBasic,basicCategory
arts_and_entertainment,arts_and_entertainment,Arts and Entertainment,0,true,arts_and_entertainment
arts_and_entertainment > amusement_attraction,amusement_attraction,Amusement Attraction,1,true,amusement_attraction
arts_and_entertainment > amusement_attraction > amusement_park,amusement_park,Amusement Park,2,true,amusement_park
arts_and_entertainment > amusement_attraction > carnival_venue,carnival_venue,Carnival Venue,2,false,amusement_attraction
arts_and_entertainment > amusement_attraction > carousel,carousel,Carousel,2,false,amusement_attraction
arts_and_entertainment > amusement_attraction > circus_venue,circus_venue,Circus Venue,2,false,amusement_attraction
arts_and_entertainment > amusement_attraction > haunted_house,haunted_house,Haunted House,2,false,amusement_attraction
arts_and_entertainment > animal_attraction,animal_attraction,Animal Attraction,1,true,animal_attraction
arts_and_entertainment > animal_attraction > aquarium,aquarium,Aquarium,2,true,aquarium
arts_and_entertainment > animal_attraction > wildlife_sanctuary,wildlife_sanctuary,Wildlife Sanctuary,2,false,animal_attraction
arts_and_entertainment > animal_attraction > zoo,zoo,Zoo,2,true,zoo
arts_and_entertainment > animal_attraction > zoo > petting_zoo,petting_zoo,Petting Zoo,3,false,zoo
arts_and_entertainment > animal_attraction > zoo > zoo_exhibit,zoo_exhibit,Zoo Exhibit,3,false,zoo
arts_and_entertainment > arts_and_crafts_space,arts_and_crafts_space,Arts and Crafts Space,1,true,arts_and_crafts_space
arts_and_entertainment > arts_and_crafts_space > art_gallery,art_gallery,Art Gallery,2,true,art_gallery
arts_and_entertainment > arts_and_crafts_space > artist_studio,artist_studio,Artist Studio,2,false,arts_and_crafts_space
arts_and_entertainment > arts_and_crafts_space > glass_blowing_venue,glass_blowing_venue,Glass Blowing Venue,2,false,arts_and_crafts_space
arts_and_entertainment > arts_and_crafts_space > paint_and_sip_venue,paint_and_sip_venue,Paint and Sip Venue,2,false,arts_and_crafts_space
arts_and_entertainment > arts_and_crafts_space > paint_your_own_pottery_venue,paint_your_own_pottery_venue,Paint Your Own Pottery Venue,2,false,arts_and_crafts_space
arts_and_entertainment > arts_and_crafts_space > sculpture_park,sculpture_park,Sculpture Park,2,false,arts_and_crafts_space
arts_and_entertainment > arts_and_crafts_space > sculpture_statue,sculpture_statue,Sculpture Statue,2,true,sculpture_statue
arts_and_entertainment > arts_and_crafts_space > street_art,street_art,Street Art,2,true,street_art
arts_and_entertainment > event_venue,event_venue,Event Venue,1,true,event_venue
arts_and_entertainment > event_venue > auditorium,auditorium,Auditorium,2,false,event_venue
arts_and_entertainment > event_venue > exhibition_and_trade_fair_venue,exhibition_and_trade_fair_venue,Exhibition and Trade Fair Venue,2,false,event_venue
arts_and_entertainment > festival_venue,festival_venue,Festival Venue,1,true,festival_venue
arts_and_entertainment > festival_venue > fairgrounds,fairgrounds,Fairgrounds,2,true,fairgrounds
arts_and_entertainment > festival_venue > film_festival_venue,film_festival_venue,Film Festival Venue,2,false,festival_venue
arts_and_entertainment > festival_venue > music_festival_venue,music_festival_venue,Music Festival Venue,2,false,festival_venue
