basic_category,display_name,path,level,group,count
arts_and_entertainment,Arts and Entertainment,arts_and_entertainment,0,arts_and_entertainment,
amusement_attraction,Amusement Attraction,arts_and_entertainment > amusement_attraction,1,arts_and_entertainment,
amusement_park,Amusement Park,arts_and_entertainment > amusement_attraction > amusement_park,2,arts_and_entertainment,
animal_attraction,Animal Attraction,arts_and_entertainment > animal_attraction,1,arts_and_entertainment,
aquarium,Aquarium,arts_and_entertainment > animal_attraction > aquarium,2,arts_and_entertainment,
zoo,Zoo,arts_and_entertainment > animal_attraction > zoo,2,arts_and_entertainment,
arts_and_crafts_space,Arts and Crafts Space,arts_and_entertainment > arts_and_crafts_space,1,arts_and_entertainment,
art_gallery,Art Gallery,arts_and_entertainment > arts_and_crafts_space > art_gallery,2,arts_and_entertainment,
sculpture_statue,Sculpture Statue,arts_and_entertainment > arts_and_crafts_space > sculpture_statue,2,arts_and_entertainment,
street_art,Street Art,arts_and_entertainment > arts_and_crafts_space > street_art,2,arts_and_entertainment,
event_venue,Event Venue,arts_and_entertainment > event_venue,1,arts_and_entertainment,
festival_venue,Festival Venue,arts_and_entertainment > festival_venue,1,arts_and_entertainment,
fairgrounds,Fairgrounds,arts_and_entertainment > festival_venue > fairgrounds,2,arts_and_entertainment,
gaming_venue,Gaming Venue,arts_and_entertainment > gaming_venue,1,arts_and_entertainment,
arcade,Arcade,arts_and_entertainment > gaming_venue > arcade,2,arts_and_entertainment,
casino,Casino,arts_and_entertainment > gaming_venue > casino,2,arts_and_entertainment,
movie_theater,Movie Theater,arts_and_entertainment > movie_theater,1,arts_and_entertainment,
museum,Museum,arts_and_entertainment > museum,1,arts_and_entertainment,
nightlife_venue,Nightlife Venue,arts_and_entertainment > nightlife_venue,1,arts_and_entertainment,
adult_entertainment_venue,Adult Entertainment Venue,arts_and_entertainment > nightlife_venue > adult_entertainment_venue,2,arts_and_entertainment,
dance_club,Dance Club,arts_and_entertainment > nightlife_venue > dance_club,2,arts_and_entertainment,
performing_arts_venue,Performing Arts Venue,arts_and_entertainment > performing_arts_venue,1,arts_and_entertainment,
comedy_club,Comedy Club,arts_and_entertainment > performing_arts_venue > comedy_club,2,arts_and_entertainment,
music_venue,Music Venue,arts_and_entertainment > performing_arts_venue > music_venue,2,arts_and_entertainment,
theatre_venue,Theatre Venue,arts_and_entertainment > performing_arts_venue > theatre_venue,2,arts_and_entertainment,
rural_attraction,Rural Attraction,arts_and_entertainment > rural_attraction,1,arts_and_entertainment,
rodeo,Rodeo,arts_and_entertainment > rural_attraction > rodeo,2,arts_and_entertainment,
science_attraction,Science Attraction,arts_and_entertainment > science_attraction,1,arts_and_entertainment,
makerspace,Makerspace,arts_and_entertainment > science_attraction > makerspace,2,arts_and_entertainment,
planetarium,Planetarium,arts_and_entertainment > science_attraction > planetarium,2,arts_and_entertainment,
social_club,Social Club,arts_and_entertainment > social_club,1,arts_and_entertainment,
country_club,Country Club,arts_and_entertainment > social_club > country_club,2,arts_and_entertainment,
spiritual_advising,Spiritual Advising,arts_and_entertainment > spiritual_advising,1,arts_and_entertainment,
astrological_advising,Astrological Advising,arts_and_entertainment > spiritual_advising > astrological_advising,2,arts_and_entertainment,
psychic_advising,Psychic Advising,arts_and_entertainment > spiritual_advising > psychic_advising,2,arts_and_entertainment,
stadium_arena,Stadium Arena,arts_and_entertainment > stadium_arena,1,arts_and_entertainment,
ticket_office_or_booth,Ticket Office or Booth,arts_and_entertainment > ticket_office_or_booth,1,arts_and_entertainment,
community_and_government,Community and Government,community_and_government,0,community_and_government,
civic_organization,Civic Organization,community_and_government > civic_organization,1,community_and_government,
civic_center,Civic Center,community_and_government > civic_organization > civic_center,2,community_and_government,
labor_union,Labor Union,community_and_government > civic_organization > labor_union,2,community_and_government,
political_organization,Political Organization,community_and_government > civic_organization > political_organization,2,community_and_government,
government_office,Government Office,community_and_government > government_office,1,community_and_government,
