legacy_primary_category,taxonomy_primary,taxonomy_hierarchy,taxonomy_display_name
3d_printing_service,3d_printing_service,services_and_business > printing_service > 3d_printing_service,3d Printing Service
abortion_clinic,abortion_clinic,health_care > specialized_medical_facility > abortion_clinic,Abortion Clinic
abrasives_supplier,abrasives_supplier,services_and_business > b2b_service > supplier_or_distributor > abrasives_supplier,Abrasives Supplier
abuse_and_addiction_treatment,abuse_and_addiction_treatment_center,health_care > specialized_medical_facility > abuse_and_addiction_treatment_center,Abuse and Addiction Treatment Center
academic_bookstore,academic_bookstore,shopping > specialty_store > books_music_and_video_store > bookstore > academic_bookstore,Academic Bookstore
acai_bowls,acai_bowls,food_and_drink > restaurant > special_diet_restaurant > acai_bowls,Acai Bowls
accommodation,lodging,lodging,Lodging
accountant,accountant,services_and_business > financial_service > accountant,Accountant
acne_treatment,acne_treatment,lifestyle_services > personal_or_beauty_service > acne_treatment,Acne Treatment
acoustical_consultant,acoustical_consultant,services_and_business > technical_service > acoustical_consultant,Acoustical Consultant
active_life,sports_and_recreation,sports_and_recreation,Sports and Recreation
acupuncture,acupuncture,health_care > outpatient_care_facility > complementary_and_alternative_medicine > acupuncture,Acupuncture
addiction_rehabilitation_center,addiction_rehabilitation_center,health_care > outpatient_care_facility > physical_medicine_and_rehabilitation > rehabilitation_center > addiction_rehabilitation_center,Addiction Rehabilitation Center
adoption_services,adoption_service,services_and_business > family_service > adoption_service,Adoption Service
adult_education,adult_education_center,education > place_of_learning > adult_education_center,Adult Education Center
adult_entertainment,adult_entertainment_venue,arts_and_entertainment > nightlife_venue > adult_entertainment_venue,Adult Entertainment Venue
adult_store,adult_store,shopping > specialty_store > adult_store,Adult Store
adventure_sports_center,adventure_sports_center,sports_and_recreation > sport_or_fitness_facility > adventure_sports_center,Adventure Sports Center
advertising_agency,advertising_agency,services_and_business > professional_service > advertising_agency,Advertising Agency
aerial_fitness_center,aerial_fitness_center,sports_and_recreation > sport_or_fitness_facility > fitness_studio > aerial_fitness_center,Aerial Fitness Center
aerial_tours,aerial_tour,travel_and_transportation > travel_service > tour_operator > aerial_tour,Aerial Tour
aesthetician,aesthetic_medicine,health_care > outpatient_care_facility > specialized_health_care > medical_skin_care > aesthetic_medicine,Aesthetic Medicine
afghan_restaurant,afghani_restaurant,food_and_drink > restaurant > asian_restaurant > central_asian_restaurant > afghani_restaurant,Afghani Restaurant
african_restaurant,african_restaurant,food_and_drink > restaurant > african_restaurant,African Restaurant
after_school_program,after_school_program,education > educational_service > after_school_program,After School Program
aggregate_supplier,aggregate_supplier,services_and_business > b2b_service > supplier_or_distributor > aggregate_supplier,Aggregate Supplier
agricultural_cooperatives,agricultural_cooperative,services_and_business > b2b_service > b2b_agriculture_service > agricultural_cooperative,Agricultural Cooperative
agricultural_engineering_service,agricultural_service,services_and_business > agricultural_service,Agricultural Service
agricultural_production,b2b_agriculture_service,services_and_business > b2b_service > b2b_agriculture_service,B2B Agriculture Service
agricultural_seed_store,agricultural_seed_store,shopping > specialty_store > farming_equipment_and_supply_store > agricultural_seed_store,Agricultural Seed Store
agricultural_service,agricultural_service,services_and_business > agricultural_service,Agricultural Service
agriculture,agriculture,services_and_business > b2b_service > b2b_agriculture_service > agriculture,Agriculture
agriculture_association,agriculture_association,services_and_business > agricultural_service > agriculture_association,Agriculture Association
agriturismo,agritourism,travel_and_transportation > travel_service > agritourism,Agritourism
air_duct_cleaning_service,air_duct_cleaning_service,services_and_business > home_service > air_duct_cleaning_service,Air Duct Cleaning Service
aircraft_dealer,aircraft_dealer,shopping > vehicle_dealer > aircraft_dealer,Aircraft Dealer
aircraft_manufacturer,aircraft_manufacturer,services_and_business > b2b_service > manufacturer > vehicle_manufacturer > aircraft_manufacturer,Aircraft Manufacturer
aircraft_parts_and_supplies,aircraft_parts_and_supplies,travel_and_transportation > air_transport_facility_or_service > aircraft_parts_and_supplies,Aircraft Parts and Supplies
aircraft_repair,aircraft_service,travel_and_transportation > vehicle_service > aircraft_service,Aircraft Service
airline,airline,travel_and_transportation > air_transport_facility_or_service > airline,Airline
airline_ticket_agency,airline_ticket_agency,travel_and_transportation > air_transport_facility_or_service > airline_ticket_agency,Airline Ticket Agency
airlines,airline,travel_and_transportation > air_transport_facility_or_service > airline,Airline
airport,airport,travel_and_transportation > air_transport_facility_or_service > airport,Airport
airport_lounge,airport_lounge,food_and_drink > alcoholic_beverage_venue > lounge > airport_lounge,Airport Lounge
airport_shuttles,airport_shuttle,travel_and_transportation > air_transport_facility_or_service > airport_shuttle,Airport Shuttle
airport_terminal,airport_terminal,travel_and_transportation > air_transport_facility_or_service > airport > airport_terminal,Airport Terminal
airsoft_fields,airsoft_field,sports_and_recreation > sport_or_fitness_facility > sport_field > airsoft_field,Airsoft Field
alcohol_and_drug_treatment_center,alcohol_and_drug_treatment_center,health_care > specialized_medical_facility > abuse_and_addiction_treatment_center > alcohol_and_drug_treatment_center,Alcohol and Drug Treatment Center
alcohol_and_drug_treatment_centers,alcohol_and_drug_treatment_center,health_care > specialized_medical_facility > abuse_and_addiction_treatment_center > alcohol_and_drug_treatment_center,Alcohol and Drug Treatment Center
allergist,allergy_and_immunology,health_care > outpatient_care_facility > specialized_health_care > internal_medicine > allergy_and_immunology,Allergy and Immunology
altering_and_remodeling_contractor,altering_and_remodeling_contractor,services_and_business > home_service > contractor > altering_and_remodeling_contractor,Altering and Remodeling Contractor
alternative_medicine,complementary_and_alternative_medicine,health_care > outpatient_care_facility > complementary_and_alternative_medicine,Complementary and Alternative Medicine
aluminum_supplier,aluminum_supplier,services_and_business > b2b_service > supplier_or_distributor > aluminum_supplier,Aluminum Supplier
amateur_sports_league,amateur_sport_league,sports_and_recreation > sport_league > amateur_sport_league,Amateur Sport League
amateur_sports_team,amateur_sport_team,sports_and_recreation > sport_team > amateur_sport_team,Amateur Sport Team
ambulance_and_ems_services,ambulance_or_ems_service,health_care > emergency_or_urgent_care_facility > ambulance_or_ems_service,Ambulance or EMS Service
american_football_field,american_football_field,sports_and_recreation > sport_or_fitness_facility > sport_field > american_football_field,American Football Field
american_restaurant,american_restaurant,food_and_drink > restaurant > north_american_restaurant > american_restaurant,American Restaurant
amusement_park,amusement_park,arts_and_entertainment > amusement_attraction > amusement_park,Amusement Park
anesthesiologist,anesthesiology,health_care > outpatient_care_facility > specialized_health_care > pain_management > anesthesiology,Anesthesiology
anglican_church,anglican_or_episcopal_place_of_worship,cultural_and_historic > place_of_worship > christian_place_of_worship > protestant_place_of_worship > anglican_or_episcopal_place_of_worship,Anglican or Episcopal Place of Worship
animal_assisted_therapy,animal_assisted_therapy,health_care > outpatient_care_facility > physical_medicine_and_rehabilitation > animal_assisted_therapy,Animal Assisted Therapy
animal_hospital,animal_hospital,lifestyle_services > animal_or_pet_service > veterinary_care > animal_hospital,Animal Hospital
animal_physical_therapy,animal_physical_therapy,lifestyle_services > animal_or_pet_service > veterinary_care > animal_physical_therapy,Animal Physical Therapy
animal_rescue_service,animal_rescue_service,lifestyle_services > animal_or_pet_service > animal_adoption_or_rescue > animal_rescue_service,Animal Rescue Service
animal_shelter,animal_shelter,lifestyle_services > animal_or_pet_service > animal_adoption_or_rescue > animal_shelter,Animal Shelter
animation_studio,animation_studio,services_and_business > media_service > media_news_company > animation_studio,Animation Studio
antenna_service,antenna_service,services_and_business > home_service > antenna_service,Antenna Service
antique_store,antique_store,shopping > second_hand_store > antique_store,Antique Store
apartment_agent,apartment_agent,services_and_business > real_estate_service > real_estate_agent > apartment_agent,Apartment Agent
apartments,apartment,services_and_business > housing_or_property_service > apartment,Apartment
apiaries_and_beekeepers,apiary_beekeeper,services_and_business > b2b_service > b2b_agriculture_service > apiary_beekeeper,Apiary Beekeeper
appellate_practice_lawyers,appellate_practice_lawyer,services_and_business > legal_service > attorney_or_law_firm > appellate_practice_lawyer,Appellate Practice Lawyer
appliance_manufacturer,appliance_manufacturer,services_and_business > b2b_service > manufacturer > appliance_manufacturer,Appliance Manufacturer
